Activo,SMA,Banda,Semanas,X,Y,Logica,Sharpe_completo,CAGR_completo,MaxDD_completo,Rotacion,PeorAnio,Sharpe_2000-2009,CAGR_2000-2009,MaxDD_2000-2009,Sharpe_2010-2019,CAGR_2010-2019,MaxDD_2010-2019,Sharpe_ultimos10,CAGR_ultimos10,MaxDD_ultimos10
SPY,100,0.01,39,15,4,AND,0.4968955614932512,0.0746518247274763,-0.2668967134905343,4.18308311973636,-0.2149352929720696,0.11771386872232,0.0336707011487353,-0.1673764455210519,0.4635769374914599,0.0474856846579585,-0.1713831970906842,0.73753651791079,0.0994043027233422,-0.171383197090684
SPY,100,0.01,39,15,6,AND,0.5212468673422971,0.0785901343846615,-0.2668967134905359,4.244599047967777,-0.2149352929720706,0.1592857335527957,0.037367788012347,-0.1673764455210519,0.4797548391339953,0.0510368656820452,-0.1816818230618762,0.7624811654135998,0.10491352001692,-0.1632599860462816
SPY,100,0.01,39,15,8,AND,0.5498397466220395,0.0821113735548169,-0.2668967134905347,4.306114976199194,-0.2149352929720698,0.1948549975673228,0.0405722771656977,-0.1673764455210519,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.8045407437793511,0.1101610088276894,-0.1472476236462486
SPY,100,0.01,39,18,2,AND,0.4855253104187954,0.0728777267611129,-0.266896713490535,4.121567191504943,-0.21493529297207,0.0870250461431481,0.0309918748062485,-0.1673764455210519,0.474619855116708,0.0486573844484761,-0.188638088389857,0.7514903462065775,0.0982727524483009,-0.1886380883898581
SPY,100,0.01,39,18,4,AND,0.5110039182399132,0.0763370790105799,-0.2668967134905343,4.18308311973636,-0.2149352929720696,0.11771386872232,0.0336707011487353,-0.1673764455210519,0.512655646393671,0.0528442218646318,-0.171383197090684,0.73753651791079,0.0994043027233422,-0.171383197090684
SPY,100,0.01,39,18,6,AND,0.5263879093493987,0.0792392580058181,-0.2668967134905359,4.244599047967777,-0.2149352929720706,0.1592857335527957,0.037367788012347,-0.1673764455210519,0.4973483135023867,0.0530980464577957,-0.1816818230618753,0.7624811654135998,0.10491352001692,-0.1632599860462816
SPY,100,0.01,39,18,8,AND,0.5498397466220395,0.0821113735548169,-0.2668967134905347,4.306114976199194,-0.2149352929720698,0.1948549975673228,0.0405722771656977,-0.1673764455210519,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.8045407437793511,0.1101610088276894,-0.1472476236462486
SPY,100,0.01,52,8,2,AND,0.4283368466037168,0.0646021061375927,-0.1906292671557347,3.5064079091907727,-0.1608169078926387,-0.0217722912088295,0.0227879125374705,-0.1294451991249144,0.4328771830595705,0.0427476719530073,-0.1749234766051206,0.6860914185280722,0.0883622574045239,-0.1829685676850969
SPY,100,0.01,52,8,4,AND,0.4313909390283763,0.0662055681366677,-0.2434784933598697,4.121567191504943,-0.1898572194395766,-0.1036417495805845,0.0158566124276446,-0.1468912642211769,0.4156060350574999,0.0422658933223678,-0.1928457499551656,0.7083177340328389,0.0933222051853372,-0.192845749955168
SPY,100,0.01,52,8,6,AND,0.456402109785233,0.069667389700339,-0.2668967134905359,4.306114976199194,-0.2149352929720706,-0.1129344454659784,0.0147445499483012,-0.1673764455210519,0.4761910477654489,0.0493238904173263,-0.1556873256931999,0.7533164100719186,0.1005658315235455,-0.1632599860462816
SPY,100,0.01,52,8,8,AND,0.474413439695212,0.0721410740079206,-0.2668967134905347,5.105822043207617,-0.2149352929720698,-0.1024897564835068,0.0155326596080584,-0.1673764455210519,0.4702567104877755,0.0495206074922844,-0.1883999150420638,0.8084974944139353,0.1079245211719159,-0.1472476236462486
SPY,100,0.01,52,10,2,AND,0.4202160850473148,0.0642591568963149,-0.2567436580230657,3.8139875503478575,-0.1791706515816141,-0.0625167587122133,0.0195579397983214,-0.1500054317336193,0.3771546129303217,0.0375748788513379,-0.1749234766051176,0.7980110858322983,0.1012451148493336,-0.170796730293367
SPY,100,0.01,52,10,4,AND,0.4584489977244217,0.069354752698983,-0.2434784933598687,4.060051263273526,-0.1898572194395772,-0.1036417495805845,0.0158566124276446,-0.1468912642211769,0.4164986005161464,0.0424107447466617,-0.1928457499551669,0.7861306182568761,0.1027900963375323,-0.192845749955168
SPY,100,0.01,52,10,6,AND,0.4693144923952103,0.0712189793346484,-0.2668967134905359,4.244599047967777,-0.2149352929720706,-0.1129344454659784,0.0147445499483012,-0.1673764455210519,0.4919698828849728,0.0510257140432612,-0.1556873256931991,0.7784853976967968,0.1039850766935699,-0.1632599860462816
SPY,100,0.01,52,10,8,AND,0.477696627380662,0.0727257907587679,-0.2668967134905347,4.429146832662029,-0.2149352929720698,-0.1024897564835068,0.0155326596080584,-0.1673764455210519,0.4695062495769325,0.0497160091623098,-0.1857750595445451,0.8164845838891589,0.1096881283266066,-0.1472476236462486
SPY,100,0.01,52,12,2,AND,0.4098237997959261,0.0638204111395051,-0.266896713490535,4.060051263273526,-0.21493529297207,-0.1134585632957424,0.0148987144789609,-0.1673764455210519,0.3481667890943634,0.0353169102130954,-0.1886380883898568,0.7600677202379711,0.0988466826869396,-0.1886380883898581
SPY,100,0.01,52,12,4,AND,0.4549162810845004,0.0691836881100549,-0.2668967134905343,4.121567191504943,-0.2149352929720696,-0.1406434073083496,0.0125776943036104,-0.1673764455210519,0.4412754633796754,0.0451542983695052,-0.1713831970906832,0.8082200703985938,0.1056948763568366,-0.171383197090684
SPY,100,0.01,52,12,6,AND,0.4724450524905954,0.0719485757451099,-0.2668967134905359,4.18308311973636,-0.2149352929720706,-0.1129344454659784,0.0147445499483012,-0.1673764455210519,0.4463949396124652,0.0468770756361718,-0.1595266634574392,0.827997314235384,0.1108255727127007,-0.1632599860462816
SPY,100,0.01,52,12,8,AND,0.5015786234617353,0.0756664476681479,-0.2668967134905347,4.18308311973636,-0.2149352929720698,-0.1024897564835068,0.0155326596080584,-0.1673764455210519,0.497030724632717,0.0530644301981664,-0.1900389143412403,0.8657604812489563,0.1160696091661956,-0.1472476236462486
SPY,100,0.01,52,15,2,AND,0.4200669902463735,0.0650279032900067,-0.266896713490535,4.121567191504943,-0.21493529297207,-0.1134585632957424,0.0148987144789609,-0.1673764455210519,0.4082479010544915,0.0415473985226673,-0.1886380883898587,0.7343821769716457,0.0963137884859661,-0.1886380883898581
SPY,100,0.01,52,15,4,AND,0.4614149028720575,0.0699155320703441,-0.2668967134905343,4.121567191504943,-0.2149352929720696,-0.1406434073083496,0.0125776943036104,-0.1673764455210519,0.4635769374914599,0.0474856846579585,-0.1713831970906842,0.8082200703985938,0.1056948763568366,-0.171383197090684
SPY,100,0.01,52,15,6,AND,0.4823450990161848,0.0732548080284287,-0.2668967134905359,4.18308311973636,-0.2149352929720706,-0.1129344454659784,0.0147445499483012,-0.1673764455210519,0.4797548391339953,0.0510368656820452,-0.1816818230618762,0.827997314235384,0.1108255727127007,-0.1632599860462816
SPY,100,0.01,52,15,8,AND,0.50447956237765,0.0760061228629966,-0.2668967134905347,4.18308311973636,-0.2149352929720698,-0.1024897564835068,0.0155326596080584,-0.1673764455210519,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.8657604812489563,0.1160696091661956,-0.1472476236462486
SPY,100,0.01,52,18,2,AND,0.4395663514712047,0.0672552815933844,-0.266896713490535,4.121567191504943,-0.21493529297207,-0.1134585632957424,0.0148987144789609,-0.1673764455210519,0.474619855116708,0.0486573844484761,-0.188638088389857,0.7343821769716457,0.0963137884859661,-0.1886380883898581
SPY,100,0.01,52,18,4,AND,0.4758327906599285,0.0715933589641273,-0.2668967134905343,4.121567191504943,-0.2149352929720696,-0.1406434073083496,0.0125776943036104,-0.1673764455210519,0.512655646393671,0.0528442218646318,-0.171383197090684,0.8082200703985938,0.1056948763568366,-0.171383197090684
